==1519835== NVPROF is profiling process 1519835, command: ./RN 1
==1519835== Profiling application: ./RN 1
==1519835== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.64436s  97.632us                    -               -         -         -         -  576.00KB  5.6264GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.64447s  3.9341ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [276]
2.64847s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.64852s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.64852s  19.232us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [279]
2.64866s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.64870s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.64871s  11.904us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [282]
2.64872s  6.8800us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [283]
2.66372s  86.720us                    -               -         -         -         -  512.00KB  5.6305GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.66382s  1.6138ms            (512 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [285]
2.66551s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.66556s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.66556s  62.400us            (512 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [288]
2.66587s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.66591s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.66592s  41.569us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [291]
2.66596s  51.040us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA(float*, float*, float*, int) [292]
2.66601s  29.376us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [293]
