==1519539== NVPROF is profiling process 1519539, command: ./RN 1
==1519539== Error: File already exists: /playpen/leochanj/fgpure/Modified-NVIDIA-Linux-x86_64-460.67/ResNet/test.profout
==1519539== Use "-f" to overwrite existing file
==1519539== Profiling application: ./RN 1
==1519539== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
1.8e+10s  4.1379ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [278]
1.8e+10s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  17.696us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [281]
1.8e+10s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  11.360us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [284]
1.8e+10s  6.8800us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [285]
1.8e+10s  86.786us                    -               -         -         -         -  512.00KB  5.6263GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.5929ms            (512 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [287]
1.8e+10s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  59.393us            (512 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [290]
1.8e+10s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.9840us                    -               -         -         -         -  2.0000KB  984.44MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  40.929us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [293]
1.8e+10s  50.113us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA(float*, float*, float*, int) [294]
1.8e+10s  28.832us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [295]
1.8e+10s  45.217us                    -               -         -         -         -  256.00KB  5.3993GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.6661ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [297]
1.8e+10s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7920us                    -               -         -         -         -      512B  272.48MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  17.920us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [300]
1.8e+10s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.9200us                    -               -         -         -         -      512B  254.31MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  11.456us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [303]
1.8e+10s  7.7760us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [304]
1.8e+10s  97.506us                    -               -         -         -         -  576.00KB  5.6337GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  4.0595ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [306]
1.8e+10s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  19.168us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [309]
1.8e+10s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  12.000us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [312]
1.8e+10s  7.7440us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [313]
